PS C:\Users\User\Desktop\Remembrall> logman query providers -pid 5912

Provider                                 GUID
-------------------------------------------------------------------------------
FWPUCLNT Trace Provider                  {5A1600D2-68E5-4DE7-BCF4-1C2D215FE0FE}
Microsoft-IEFRAME                        {5C8BB950-959E-4309-8908-67961A1205D5}
Microsoft-Windows-AppModel-Runtime       {F1EF270A-0D32-4352-BA52-DBAB41E1D859}
Microsoft-Windows-ASN1                   {D92EF8AC-99DD-4AB8-B91D-C6EBA85F3755}
Microsoft-Windows-AsynchronousCausality  {19A4C69A-28EB-4D4B-8D94-5F19055A1B5C}
Microsoft-Windows-CAPI2                  {5BBCA4A8-B209-48DC-A8C7-B23D3E5216FB}
Microsoft-Windows-COM-Perf               {B8D6861B-D20F-4EEC-BBAE-87E0DD80602B}
Microsoft-Windows-COM-RundownInstrumentation {2957313D-FCAA-5D4A-2F69-32CE5F0AC44E}
Microsoft-Windows-Crypto-BCrypt          {C7E089AC-BA2A-11E0-9AF7-68384824019B}
Microsoft-Windows-Crypto-NCrypt          {E8ED09DC-100C-45E2-9FC8-B53399EC1F70}
Microsoft-Windows-Crypto-RSAEnh          {152FDB2B-6E9D-4B60-B317-815D5F174C4A}
Microsoft-Windows-DNS-Client             {1C95126E-7EEA-49A9-A3FE-A378B03DDB4D}
Microsoft-Windows-Eventlog               {FC65DDD8-D6EF-4962-83D5-6E5CFE9CE148}
Microsoft-Windows-FeatureConfiguration   {C2F36562-A1E4-4BC3-A6F6-01A7ADB643E8}
Microsoft-Windows-Heap-Snapshot          {901D2AFA-4FF6-46D7-8D0E-53645E1A47F5}
Microsoft-Windows-KnownFolders           {8939299F-2315-4C5C-9B91-ABB86AA0627D}
Microsoft-Windows-Networking-Correlation {83ED54F0-4D48-4E45-B16E-726FFD1FA4AF}
Microsoft-Windows-PDH                    {04D66358-C4A1-419B-8023-23B73902DE2C}
Microsoft-Windows-Perflib                {13B197BD-7CEE-4B4E-8DD0-59314CE374CE}
Microsoft-Windows-PerfProc               {72D211E1-4C54-4A93-9520-4901681B2271}
Microsoft-Windows-RPC                    {6AD52B32-D609-4BE9-AE07-CE8DAE937E39}
Microsoft-Windows-RPC-Events             {F4AED7C7-A898-4627-B053-44A7CAA12FCD}
Microsoft-Windows-Schannel-Events        {91CC1150-71AA-47E2-AE18-C96E61736B6F}
Microsoft-Windows-Shell-Core             {30336ED4-E327-447C-9DE0-51B652C86108}
Microsoft-Windows-URLMon                 {245F975D-909D-49ED-B8F9-9A75691D6B6B}
Microsoft-Windows-User Profiles General  {DB00DFB6-29F9-4A9C-9B3B-1F4F9E7D9770}
Microsoft-Windows-User-Diagnostic        {305FC87B-002A-5E26-D297-60223012CA9C}
Microsoft-Windows-WinHttp                {7D44233D-3055-4B9C-BA64-0D47CA40A232}
Microsoft-Windows-WinINet                {43D1A55C-76D6-4F7E-995C-64C711E5CAFE}
Microsoft-Windows-WinINet-Capture        {A70FF94F-570B-4979-BA5C-E59C9FEAB61B}
Microsoft-Windows-WinINet-Pca            {4860EA43-3F05-5FB8-20CE-7BA346A44747}
Microsoft-Windows-WinRT-Error            {A86F8471-C31D-4FBC-A035-665D06047B03}
Microsoft-Windows-Winsock-NameResolution {55404E71-4DB9-4DEB-A5F5-8F86E46DDE56}
Microsoft-Windows-Winsock-Sockets        {BDE46AEA-2357-51FE-7367-D5296F530BD1}
Microsoft-Windows-Winsock-WS2HELP        {D5C25F9A-4D47-493E-9184-40DD397A004D}
Security: SChannel                       {37D2C3CD-C5D4-4587-8531-4696C44244C8}
TCPIP Service Trace                      {EB004A05-9B1A-11D4-9123-0050047759BC}
{012616AB-FF6D-4503-A6F0-EFFD0523ACE6}   {012616AB-FF6D-4503-A6F0-EFFD0523ACE6}
{05F95EFE-7F75-49C7-A994-60A55CC09571}   {05F95EFE-7F75-49C7-A994-60A55CC09571}
{05FF9269-F73F-5D04-7F30-398BB2F6E5D0}   {05FF9269-F73F-5D04-7F30-398BB2F6E5D0}
{0616F7DD-722A-4DF1-B87A-414FA870D8B7}   {0616F7DD-722A-4DF1-B87A-414FA870D8B7}
{097D1686-4038-46BE-B551-10FDA0387165}   {097D1686-4038-46BE-B551-10FDA0387165}
{0BCA4784-8257-51A0-D9EC-24FE1FE4C90D}   {0BCA4784-8257-51A0-D9EC-24FE1FE4C90D}
{1070F044-721C-504B-C01C-671DADCBC77D}   {1070F044-721C-504B-C01C-671DADCBC77D}
{1A211EE8-52DB-4AF0-BB66-FB8C9F20B0E2}   {1A211EE8-52DB-4AF0-BB66-FB8C9F20B0E2}
{1AFF6089-E863-4D36-BDFD-3581F07440BE}   {1AFF6089-E863-4D36-BDFD-3581F07440BE}
{1D44957B-7181-4835-B70A-D0B16112A4DE}   {1D44957B-7181-4835-B70A-D0B16112A4DE}
{2955E23C-4E0B-45CA-A181-6EE442CA1FC0}   {2955E23C-4E0B-45CA-A181-6EE442CA1FC0}
{2A94554C-2FBE-46D0-9FA6-60562281B0CB}   {2A94554C-2FBE-46D0-9FA6-60562281B0CB}
{2B0E7F74-1058-5C40-04DC-294E3187B6BF}   {2B0E7F74-1058-5C40-04DC-294E3187B6BF}
{2E16B12A-B093-468A-86FA-F002E013B6A6}   {2E16B12A-B093-468A-86FA-F002E013B6A6}
{32980F26-C8F5-5767-6B26-635B3FA83C61}   {32980F26-C8F5-5767-6B26-635B3FA83C61}
{3C430B0A-397A-4E1D-9A83-9C388405C00C}   {3C430B0A-397A-4E1D-9A83-9C388405C00C}
{3C74AFB9-8D82-44E3-B52C-365DBF48382A}   {3C74AFB9-8D82-44E3-B52C-365DBF48382A}
{41D92334-B49C-4938-85F1-3C22595DB157}   {41D92334-B49C-4938-85F1-3C22595DB157}
{46486B01-4DC0-4BCA-B74C-8D10DC2C9801}   {46486B01-4DC0-4BCA-B74C-8D10DC2C9801}
{496B3C19-9DCA-51A5-187C-5C746785FE4E}   {496B3C19-9DCA-51A5-187C-5C746785FE4E}
{4E749B6A-667D-4C72-80EF-373EE3246B08}   {4E749B6A-667D-4C72-80EF-373EE3246B08}
{4E7ADD1A-6945-435A-82B6-612688BA9F57}   {4E7ADD1A-6945-435A-82B6-612688BA9F57}
{57A6ED1A-79F7-5011-B242-4784E5620CF7}   {57A6ED1A-79F7-5011-B242-4784E5620CF7}
{5FB75EAC-9F0B-550C-339F-FC21FDE966CD}   {5FB75EAC-9F0B-550C-339F-FC21FDE966CD}
{609151DD-04F5-4DA7-974C-FC6947EAA323}   {609151DD-04F5-4DA7-974C-FC6947EAA323}
{703FCC13-B66F-5868-DDD9-E2DB7F381FFB}   {703FCC13-B66F-5868-DDD9-E2DB7F381FFB}
{7913AC64-A5CD-40CD-B096-4E8C4028EAAB}   {7913AC64-A5CD-40CD-B096-4E8C4028EAAB}
{7AF898D7-7E0E-518D-5F96-B1E79239484C}   {7AF898D7-7E0E-518D-5F96-B1E79239484C}
{7E32A1C4-D502-5B7C-39E8-2B7B0B5F0424}   {7E32A1C4-D502-5B7C-39E8-2B7B0B5F0424}
{80DF111F-178D-44FB-AFB4-5D179DE9D4EC}   {80DF111F-178D-44FB-AFB4-5D179DE9D4EC}
{81B213EB-73A8-4B62-95BC-354477C97A6F}   {81B213EB-73A8-4B62-95BC-354477C97A6F}
{970407AD-6485-45DA-AA30-58E0037770E4}   {970407AD-6485-45DA-AA30-58E0037770E4}
{9CA335ED-C0A6-4B4D-B084-9C9B5143AFF0}   {9CA335ED-C0A6-4B4D-B084-9C9B5143AFF0}
{A323CDC2-81B0-48B2-80C8-B749A221478A}   {A323CDC2-81B0-48B2-80C8-B749A221478A}
{A3A7B70D-A430-4F3E-AC8B-32DC24E12D7E}   {A3A7B70D-A430-4F3E-AC8B-32DC24E12D7E}
{A40B455C-253C-4311-AC6D-6E667EDCCEFC}   {A40B455C-253C-4311-AC6D-6E667EDCCEFC}
{A74EFE00-14BE-4EF9-9DA9-1484D5473301}   {A74EFE00-14BE-4EF9-9DA9-1484D5473301}
{A74EFE00-14BE-4EF9-9DA9-1484D5473302}   {A74EFE00-14BE-4EF9-9DA9-1484D5473302}
{A74EFE00-14BE-4EF9-9DA9-1484D5473304}   {A74EFE00-14BE-4EF9-9DA9-1484D5473304}
{A74EFE00-14BE-4EF9-9DA9-1484D5473305}   {A74EFE00-14BE-4EF9-9DA9-1484D5473305}
{AC7FF34D-58DA-490C-843E-57BAEB1BAFEF}   {AC7FF34D-58DA-490C-843E-57BAEB1BAFEF}
{B3A7698A-0C45-44DA-B73D-E181C9B5C8E6}   {B3A7698A-0C45-44DA-B73D-E181C9B5C8E6}
{B6FD710B-F783-4B1C-AB9C-C68099DCC0C7}   {B6FD710B-F783-4B1C-AB9C-C68099DCC0C7}
{B749553B-D950-5E03-6282-3145A61B1002}   {B749553B-D950-5E03-6282-3145A61B1002}
{BDA92AE8-9F11-4D49-BA1D-A4C2ABCA692E}   {BDA92AE8-9F11-4D49-BA1D-A4C2ABCA692E}
{BF30465B-E93C-46FD-9CDF-F41C8904A01F}   {BF30465B-E93C-46FD-9CDF-F41C8904A01F}
{C1376338-0984-48B8-B933-9C7D779FD84D}   {C1376338-0984-48B8-B933-9C7D779FD84D}
{C7E09E2A-C663-5399-AF79-2FCCD321D19A}   {C7E09E2A-C663-5399-AF79-2FCCD321D19A}
{CA967C75-04BF-40B5-9A16-98B5F9332A92}   {CA967C75-04BF-40B5-9A16-98B5F9332A92}
{CC3DF8E3-4111-48D0-9B21-7631021F7CA6}   {CC3DF8E3-4111-48D0-9B21-7631021F7CA6}
{CEC2553A-8961-4D34-92CA-AB2ECEF646C5}   {CEC2553A-8961-4D34-92CA-AB2ECEF646C5}
{D0F1A5C6-FC43-48AE-99BF-EFB1C38BE9D1}   {D0F1A5C6-FC43-48AE-99BF-EFB1C38BE9D1}
{D1D7D72D-00D5-4E56-8BAC-23FAC0F9ED4E}   {D1D7D72D-00D5-4E56-8BAC-23FAC0F9ED4E}
{DAF2C08D-5AC9-5066-FF0B-2D3D95275779}   {DAF2C08D-5AC9-5066-FF0B-2D3D95275779}
{DB30E9DC-354D-48B5-9DC0-AEAEBC5C6B54}   {DB30E9DC-354D-48B5-9DC0-AEAEBC5C6B54}
{DCEF5411-1F98-5EE7-238B-5ABD0E078E97}   {DCEF5411-1F98-5EE7-238B-5ABD0E078E97}
{DE5DCAEE-6F88-585A-05EE-D8B05B912772}   {DE5DCAEE-6F88-585A-05EE-D8B05B912772}
{E0910E25-6FCC-4F32-8F5E-A42CF7ACC5C3}   {E0910E25-6FCC-4F32-8F5E-A42CF7ACC5C3}
{E3368FCA-E5E8-4853-BF25-DC780BF7EE2F}   {E3368FCA-E5E8-4853-BF25-DC780BF7EE2F}
{F0558438-F56A-5987-47DA-040CA75AEF05}   {F0558438-F56A-5987-47DA-040CA75AEF05}
{F25BCD2E-2690-55DC-3BC4-07B65B1B41C9}   {F25BCD2E-2690-55DC-3BC4-07B65B1B41C9}
{F3A71A4B-6118-4257-8CCB-39A33BA059D4}   {F3A71A4B-6118-4257-8CCB-39A33BA059D4}
{F85B4793-1347-5620-7572-B79D5A28DA82}   {F85B4793-1347-5620-7572-B79D5A28DA82}
{F9FDD5A0-85EA-46BD-A4BA-FBEEC97C558C}   {F9FDD5A0-85EA-46BD-A4BA-FBEEC97C558C}
{FF32ADA1-5A4B-583C-889E-A3C027B201F5}   {FF32ADA1-5A4B-583C-889E-A3C027B201F5}

The command completed successfully.
