PS C:\Users\User\Desktop\Remembrall> logman query providers -pid 2468

Provider                                 GUID
-------------------------------------------------------------------------------
Microsoft-Antimalware-Scan-Interface     {2A576B87-09A7-520E-C21A-4942F0271D67}
Microsoft-Windows-AppModel-Runtime       {F1EF270A-0D32-4352-BA52-DBAB41E1D859}
Microsoft-Windows-AsynchronousCausality  {19A4C69A-28EB-4D4B-8D94-5F19055A1B5C}
Microsoft-Windows-COM-Perf               {B8D6861B-D20F-4EEC-BBAE-87E0DD80602B}
Microsoft-Windows-COM-RundownInstrumentation {2957313D-FCAA-5D4A-2F69-32CE5F0AC44E}
Microsoft-Windows-Crypto-BCrypt          {C7E089AC-BA2A-11E0-9AF7-68384824019B}
Microsoft-Windows-Eventlog               {FC65DDD8-D6EF-4962-83D5-6E5CFE9CE148}
Microsoft-Windows-FeatureConfiguration   {C2F36562-A1E4-4BC3-A6F6-01A7ADB643E8}
Microsoft-Windows-Heap-Snapshot          {901D2AFA-4FF6-46D7-8D0E-53645E1A47F5}
Microsoft-Windows-Networking-Correlation {83ED54F0-4D48-4E45-B16E-726FFD1FA4AF}
Microsoft-Windows-RPC                    {6AD52B32-D609-4BE9-AE07-CE8DAE937E39}
Microsoft-Windows-RPC-Events             {F4AED7C7-A898-4627-B053-44A7CAA12FCD}
Microsoft-Windows-Shell-Core             {30336ED4-E327-447C-9DE0-51B652C86108}
Microsoft-Windows-User Profiles General  {DB00DFB6-29F9-4A9C-9B3B-1F4F9E7D9770}
Microsoft-Windows-User-Diagnostic        {305FC87B-002A-5E26-D297-60223012CA9C}
Microsoft-Windows-WinRT-Error            {A86F8471-C31D-4FBC-A035-665D06047B03}
VSS tracing provider                     {9138500E-3648-4EDB-AA4C-859E9F7B7C38}
{05F95EFE-7F75-49C7-A994-60A55CC09571}   {05F95EFE-7F75-49C7-A994-60A55CC09571}
{097D1686-4038-46BE-B551-10FDA0387165}   {097D1686-4038-46BE-B551-10FDA0387165}
{1AFF6089-E863-4D36-BDFD-3581F07440BE}   {1AFF6089-E863-4D36-BDFD-3581F07440BE}
{32980F26-C8F5-5767-6B26-635B3FA83C61}   {32980F26-C8F5-5767-6B26-635B3FA83C61}
{3C74AFB9-8D82-44E3-B52C-365DBF48382A}   {3C74AFB9-8D82-44E3-B52C-365DBF48382A}
{57A6ED1A-79F7-5011-B242-4784E5620CF7}   {57A6ED1A-79F7-5011-B242-4784E5620CF7}
{5FB75EAC-9F0B-550C-339F-FC21FDE966CD}   {5FB75EAC-9F0B-550C-339F-FC21FDE966CD}
{6407345B-94F2-44C8-B3DB-4E076BE46816}   {6407345B-94F2-44C8-B3DB-4E076BE46816}
{703FCC13-B66F-5868-DDD9-E2DB7F381FFB}   {703FCC13-B66F-5868-DDD9-E2DB7F381FFB}
{75697175-75E2-4D85-83BC-7278ACC12DE4}   {75697175-75E2-4D85-83BC-7278ACC12DE4}
{7A01E7FB-B6A4-4585-B1A8-EA2094ECB4C5}   {7A01E7FB-B6A4-4585-B1A8-EA2094ECB4C5}
{9A7D7195-B713-4092-BDC5-58F4352E9563}   {9A7D7195-B713-4092-BDC5-58F4352E9563}
{A74EFE00-14BE-4EF9-9DA9-1484D5473302}   {A74EFE00-14BE-4EF9-9DA9-1484D5473302}
{B6FD710B-F783-4B1C-AB9C-C68099DCC0C7}   {B6FD710B-F783-4B1C-AB9C-C68099DCC0C7}
{B749553B-D950-5E03-6282-3145A61B1002}   {B749553B-D950-5E03-6282-3145A61B1002}
{BDA92AE8-9F11-4D49-BA1D-A4C2ABCA692E}   {BDA92AE8-9F11-4D49-BA1D-A4C2ABCA692E}
{BF30465B-E93C-46FD-9CDF-F41C8904A01F}   {BF30465B-E93C-46FD-9CDF-F41C8904A01F}
{C1376338-0984-48B8-B933-9C7D779FD84D}   {C1376338-0984-48B8-B933-9C7D779FD84D}
{C7E09E2A-C663-5399-AF79-2FCCD321D19A}   {C7E09E2A-C663-5399-AF79-2FCCD321D19A}
{CA967C75-04BF-40B5-9A16-98B5F9332A92}   {CA967C75-04BF-40B5-9A16-98B5F9332A92}
{DAF2C08D-5AC9-5066-FF0B-2D3D95275779}   {DAF2C08D-5AC9-5066-FF0B-2D3D95275779}
{E0910E25-6FCC-4F32-8F5E-A42CF7ACC5C3}   {E0910E25-6FCC-4F32-8F5E-A42CF7ACC5C3}
{ED403794-AF80-40DF-87FC-69DF262388DC}   {ED403794-AF80-40DF-87FC-69DF262388DC}
{F0558438-F56A-5987-47DA-040CA75AEF05}   {F0558438-F56A-5987-47DA-040CA75AEF05}
{F25BCD2E-2690-55DC-3BC4-07B65B1B41C9}   {F25BCD2E-2690-55DC-3BC4-07B65B1B41C9}
{F3A71A4B-6118-4257-8CCB-39A33BA059D4}   {F3A71A4B-6118-4257-8CCB-39A33BA059D4}

The command completed successfully.
