Time	CPU Usage (%)	Memory Usage (MB)
2024-07-10 03:30:16	0.00	5865.59
2024-07-10 03:30:21	0.10	5866.72
2024-07-10 03:30:26	0.40	5866.82
2024-07-10 03:30:31	0.30	5867.92
2024-07-10 03:30:36	0.50	5867.54
2024-07-10 03:30:41	0.40	5867.66
2024-07-10 03:30:46	0.20	5867.66
2024-07-10 03:30:51	0.40	5867.20
2024-07-10 03:30:56	0.30	5867.10
2024-07-10 03:31:01	0.80	5869.45
2024-07-10 03:31:06	0.40	5868.98
2024-07-10 03:31:11	0.30	5868.44
2024-07-10 03:31:16	0.40	5866.27
2024-07-10 03:31:21	0.20	5866.29
2024-07-10 03:31:26	0.20	5866.12
2024-07-10 03:31:31	0.20	5866.45
2024-07-10 03:31:36	0.40	5865.18
2024-07-10 03:31:41	0.30	5864.34
2024-07-10 03:31:46	0.30	5864.21
2024-07-10 03:31:51	0.50	5864.17
2024-07-10 03:31:56	0.60	5863.95
2024-07-10 03:32:01	0.50	5866.05
2024-07-10 03:32:06	0.30	5865.44
2024-07-10 03:32:11	0.40	5865.18
2024-07-10 03:32:16	0.20	5864.66
2024-07-10 03:32:21	0.40	5864.69
2024-07-10 03:32:26	2.60	5889.52
2024-07-10 03:32:31	1.00	5883.63
2024-07-10 03:32:36	0.40	5883.42
2024-07-10 03:32:41	0.20	5883.79
2024-07-10 03:32:46	0.50	5883.72
2024-07-10 03:32:51	0.50	5883.67
2024-07-10 03:32:56	0.60	5885.45
2024-07-10 03:33:01	0.70	5886.82
2024-07-10 03:33:06	0.70	5886.66
2024-07-10 03:33:11	0.30	5886.30
